risk_score,age,horizon_years,goal_encoded,monthly_sip,income_category,fund_category
9.9,30,13,1,49043,2,5
4.6,47,25,2,3930,0,2
9.2,32,9,2,15652,0,4
5.2,30,2,0,24762,2,1
9.6,23,5,0,8745,2,6
9.1,52,6,0,7787,0,1
9.6,29,10,0,47042,0,5
3.0,30,28,0,21952,0,1
7.6,41,19,3,20123,0,4
8.9,62,26,0,49638,2,5
1.1,49,13,1,10382,0,1
4.9,51,28,3,35650,1,6
5.3,39,26,3,49646,1,2
3.9,32,19,2,29741,2,2
3.0,19,15,1,3593,2,1
3.5,20,27,0,13357,1,6
2.7,34,29,0,9211,2,6
5.2,47,14,2,12036,1,6
3.8,30,17,3,27089,1,4
1.9,34,12,0,39059,2,1
4.2,50,13,3,43701,1,2
1.3,23,9,2,26515,0,1
5.9,39,26,2,33782,2,6
9.8,53,13,3,28880,2,5
1.7,52,29,0,16809,2,1
7.9,41,18,0,15782,0,4
9.2,29,3,0,33797,0,4
8.7,62,9,1,31023,0,4
6.9,18,8,3,32919,0,4
5.0,25,11,3,23540,0,4
6.3,32,6,3,18158,0,5
1.8,50,17,2,34497,1,6
5.7,40,12,1,12615,2,2
5.0,22,15,1,48820,2,6
8.2,21,1,0,32390,2,2
4.7,65,13,0,20114,0,1
8.8,18,24,1,42281,2,5
4.4,61,6,1,44798,2,2
8.3,42,12,0,16853,0,4
4.9,33,15,0,22127,2,6
3.6,44,29,2,13967,2,2
8.7,56,13,2,4154,2,5
6.7,30,23,1,24169,0,4
3.1,54,4,1,40075,2,1
8.8,50,23,0,49604,1,1
9.9,52,7,0,28982,1,1
3.5,63,4,3,47320,0,1
1.6,49,21,3,35003,1,6
5.0,25,22,3,30637,0,4
7.0,37,3,3,16401,0,2
3.3,25,7,3,11523,1,5
5.6,20,20,1,18573,1,6
8.4,52,30,3,45533,1,4
9.6,35,10,0,9484,0,5
2.3,51,8,0,40405,0,1
8.7,49,29,2,21233,1,6
7.3,26,23,2,45436,2,4
3.1,46,20,3,12911,1,6
7.6,39,5,1,4981,1,2
3.2,38,21,1,47576,0,1
8.8,65,28,1,21723,2,5
7.2,65,29,0,24061,1,1
1.6,41,13,2,48184,0,3
5.6,57,26,2,48855,2,6
4.8,64,16,3,24388,2,2
9.6,27,21,3,25727,2,5
9.4,26,25,3,39214,1,5
3.6,49,30,2,49690,0,2
1.5,39,22,2,44041,0,1
4.7,54,29,0,9206,2,1
8.3,61,5,2,17332,2,2
8.1,53,22,1,19533,1,4
8.9,54,26,3,10096,1,6
8.1,37,17,2,44090,0,4
3.4,36,17,2,6497,2,6
4.0,50,18,2,2151,0,2
2.1,23,15,1,49498,0,3
7.3,62,19,0,18333,2,1
1.7,56,7,1,29812,0,1
3.5,59,30,1,9935,2,1
5.4,60,20,1,19181,2,6
6.0,24,21,1,12429,1,6
6.5,58,1,1,29800,2,5
7.4,34,2,1,12985,1,2
5.9,41,15,3,31151,2,2
5.7,57,21,2,18633,1,2
5.8,52,6,2,49063,2,2
6.2,38,8,2,21884,2,2
9.1,60,8,1,44436,0,4
2.1,28,14,2,40451,0,1
1.1,42,3,0,27319,0,0
7.8,28,2,2,46943,0,2
3.2,51,9,2,13730,1,6
2.1,33,2,1,37846,2,1
3.7,38,3,0,28776,0,1
7.0,40,27,2,18261,1,4
7.7,43,6,2,18851,0,2
8.5,36,15,3,4993,1,4
3.0,31,30,0,6327,2,1
8.2,47,12,2,1278,1,4
7.0,34,2,3,44596,0,2
9.5,55,20,0,12966,2,5
5.6,40,6,1,2761,0,2
6.6,31,3,3,31019,0,5
6.1,59,11,1,27505,0,2
7.3,36,11,0,44699,2,6
1.0,44,14,2,36320,2,1
4.8,37,17,0,17215,1,6
2.2,26,25,2,47119,2,1
3.7,18,23,0,2498,1,6
4.6,62,23,0,37288,1,1
6.2,53,28,0,43403,2,1
4.4,52,11,2,47058,2,6
7.2,62,18,0,7569,2,4
2.3,47,10,0,2669,0,1
2.4,34,13,3,40419,1,5
3.3,38,14,2,26632,2,6
9.9,35,8,1,47340,1,4
6.4,62,15,3,10985,0,2
5.6,61,12,3,30035,1,6
6.2,31,27,1,21583,2,2
3.7,25,19,2,49433,2,6
7.2,59,30,0,18111,1,1
1.0,20,1,3,33292,0,5
1.8,26,2,1,49011,1,0
8.8,19,8,0,12949,1,6
3.6,44,22,0,24282,0,2
7.5,49,30,1,15869,1,4
2.3,40,8,1,9727,2,1
8.0,35,22,1,23236,2,6
6.1,51,12,3,31831,1,2
4.5,44,25,3,23978,1,2
3.4,37,19,2,1816,1,6
1.0,24,9,0,2757,0,1
6.5,51,9,3,25851,2,2
1.4,30,25,0,4713,1,1
4.7,42,3,2,35332,1,6
3.0,45,26,3,4366,1,1
5.7,29,16,3,48158,0,4
4.6,21,8,2,29072,0,2
5.8,37,18,2,49929,0,2
5.7,21,15,2,9182,0,2
1.1,58,11,3,34964,1,6
5.9,63,13,2,2257,2,6
3.2,23,9,3,13367,2,5
2.9,35,26,1,1119,2,6
8.0,53,15,1,23860,2,4
9.3,59,11,0,19101,1,1
2.4,44,2,2,2676,0,0
8.1,46,20,0,1605,0,1
2.6,51,24,0,27036,0,1
9.1,43,8,0,5057,2,6
1.6,21,26,2,45526,0,1
5.6,40,21,3,23655,2,2
2.8,56,6,0,12080,2,1
6.5,47,30,0,23564,2,3
2.3,33,27,2,10514,1,6
3.7,42,27,0,11608,1,6
8.2,64,23,1,33434,0,4
7.3,29,16,2,27232,2,4
2.1,31,26,0,5269,0,1
5.3,57,13,3,2355,1,6
7.1,54,8,2,49579,2,4
3.8,44,12,0,20052,0,2
1.5,64,7,3,39700,0,1
9.5,58,25,3,39056,1,5
4.6,20,10,1,32588,2,2
3.7,37,12,2,29767,2,6
3.8,53,27,3,19189,0,2
6.6,47,25,0,41743,0,1
7.1,65,6,0,38205,1,1
4.9,36,24,3,45316,2,6
3.2,63,5,2,5539,1,6
8.2,36,4,2,43826,0,2
2.9,60,25,2,38756,0,1
5.0,60,5,2,47695,1,2
9.3,32,1,2,36342,1,4
7.5,64,20,2,17686,0,4
8.5,63,23,3,49016,1,4
2.7,22,10,2,11204,2,6
5.4,62,17,2,36955,0,2
3.2,27,15,3,25190,1,5
6.5,26,15,0,19889,0,2
5.8,30,16,0,29416,0,2
4.8,34,11,0,32630,2,6
8.9,58,19,3,44454,1,5
8.2,65,2,3,36987,1,2
9.9,37,29,2,26845,0,5
4.1,49,27,1,3806,1,4
6.3,54,16,0,36122,1,1
2.4,33,23,2,11638,0,1
2.8,57,13,2,11125,1,1
9.6,55,25,2,12726,1,5
8.0,32,4,3,10506,2,2
8.9,52,15,0,19759,1,5
8.6,28,1,1,21872,1,4
1.4,30,17,2,46567,2,1
6.6,49,4,3,31426,2,6
7.1,60,25,3,48675,2,4
8.7,59,20,1,14732,1,5
7.2,42,9,1,19389,1,4
2.5,37,18,3,12692,2,6
6.3,55,2,3,24489,1,6
3.2,63,30,2,19450,0,1
7.2,48,23,0,34498,2,1
6.0,51,18,2,35679,1,6
9.7,57,12,3,35210,2,5
2.9,39,4,2,38725,1,6
6.2,57,14,3,24406,1,2
4.1,35,19,3,46491,0,4
5.4,33,9,2,37183,1,2
2.8,34,17,0,6009,2,6
2.2,45,21,1,24463,2,1
8.2,20,27,3,30372,2,4
3.4,30,13,2,3485,1,1
9.5,40,14,3,26875,2,5
6.4,56,13,3,35024,1,6
5.6,48,21,2,43891,1,2
7.5,31,25,0,28027,2,4
7.1,38,8,2,10283,1,4
4.0,19,8,2,42330,2,3
3.5,30,20,1,3859,0,1
4.1,57,1,2,13755,1,6
5.5,41,30,1,11741,0,2
2.9,61,26,2,6805,2,1
4.1,42,20,0,1127,1,6
6.3,22,6,0,30046,2,3
9.5,25,23,2,5168,0,7
7.3,47,11,3,39519,2,4
4.9,64,2,2,39954,0,7
8.4,55,3,0,47611,1,1
4.4,32,22,0,49920,0,2
3.8,23,6,2,30643,1,2
7.0,34,3,2,18823,2,2
4.7,31,5,3,29634,2,3
1.9,25,24,2,45726,2,6
7.8,35,18,0,16744,0,4
7.9,23,10,1,28930,1,4
9.7,21,17,0,42438,0,5
10.0,29,23,1,49876,1,5
2.4,62,24,3,29666,0,1
1.7,28,11,0,7048,1,3
6.2,35,3,0,8878,1,6
1.6,44,27,2,33266,2,1
3.3,25,5,1,38083,1,1
4.0,53,15,1,24838,0,2
7.1,22,22,3,16928,2,4
4.7,23,20,2,36674,0,2
9.9,30,10,0,47186,2,5
4.9,27,2,1,35631,0,1
5.7,29,17,0,18255,0,2
9.7,20,12,2,3037,2,5
7.2,57,1,0,34283,0,1
2.7,42,2,3,6043,0,0
2.6,44,2,2,5697,1,1
4.1,29,22,3,6073,0,4
3.7,49,13,2,10115,2,6
2.1,63,15,3,25756,1,1
7.4,34,28,2,38497,1,4
7.0,22,28,2,16460,2,4
9.0,20,1,2,27181,0,4
6.2,29,20,0,36412,2,2
6.6,39,11,2,20923,1,4
5.3,31,11,1,46621,2,2
5.9,64,24,2,21246,2,2
1.5,42,29,1,36905,0,1
3.9,60,15,0,5133,0,1
4.6,32,14,3,48844,2,4
2.2,58,10,1,18348,2,1
7.3,21,1,2,46012,0,2
3.7,33,3,2,16622,2,6
8.1,29,30,3,30725,1,4
4.6,54,18,2,8433,0,2
3.0,60,30,0,25346,1,1
1.4,28,4,2,13509,0,3
8.8,56,28,3,12966,2,6
4.4,24,29,2,26978,2,6
8.6,37,15,3,43174,0,7
8.0,51,9,1,44939,0,4
2.1,65,14,0,3436,2,1
7.0,44,15,0,31451,0,4
2.5,37,22,1,19781,1,6
3.9,43,14,1,45929,0,2
4.8,50,19,3,46247,0,2
1.5,45,16,2,21423,0,3
7.0,60,11,2,1875,1,4
8.4,59,7,1,47011,2,4
3.4,45,17,3,23964,1,6
2.6,52,1,3,6150,1,0
6.3,33,2,0,47494,2,2
3.8,62,6,0,6253,1,3
8.3,32,4,2,1691,0,2
9.0,46,13,3,5533,0,5
2.2,30,4,3,13440,0,1
9.4,31,26,2,20970,2,5
5.5,52,18,2,3433,0,2
9.1,31,17,2,36185,2,6
5.9,62,13,2,32398,1,2
5.6,51,28,2,13886,1,6
8.0,24,9,0,37236,0,4
8.6,61,23,0,46702,2,1
9.4,64,30,2,8807,1,7
1.4,23,27,2,37925,2,1
5.9,18,2,1,37442,1,7
3.2,34,5,1,16460,1,1
3.3,19,4,0,6554,1,6
8.8,19,9,2,35927,1,6
2.1,21,29,1,24334,2,1
3.5,30,24,1,36009,0,1
1.3,24,24,1,14429,2,6
1.1,29,10,2,32939,2,1
4.9,52,30,1,13776,1,2
3.8,40,25,2,18017,1,6
2.5,18,27,0,47528,2,6
2.8,24,12,2,40225,0,1
7.7,37,1,1,11240,1,2
1.4,62,23,3,38606,0,1
6.7,46,2,0,23610,2,1
8.4,47,4,0,7599,0,1
7.4,63,27,1,21618,1,4
3.2,55,9,0,17227,1,1
2.5,65,30,3,19885,2,1
2.8,31,17,0,9426,1,1
1.8,43,25,1,653,1,6
4.1,60,17,2,25741,2,6
1.2,33,16,1,7867,0,1
1.2,37,3,3,567,0,0
7.0,38,28,3,43419,1,6
5.4,57,2,3,32855,1,4
6.4,57,7,3,40995,2,3
7.4,54,9,2,22969,0,4
7.3,55,12,2,36577,1,4
4.4,39,25,3,2744,2,6
5.8,28,28,0,1239,1,2
2.2,47,7,3,31435,2,6
6.0,55,24,2,48747,0,2
3.2,44,10,1,17900,1,1
4.9,38,2,1,31906,0,7
3.1,40,20,0,49790,1,1
7.8,33,1,3,21771,1,2
6.0,29,2,2,5263,1,4
7.9,49,15,0,10112,0,1
3.7,32,16,3,27700,2,4
9.6,47,29,2,5211,2,7
4.5,52,5,1,1377,1,2
7.9,27,11,0,33922,1,4
4.6,51,4,0,28086,0,2
5.0,32,28,1,36675,0,2
1.1,55,23,1,9124,2,1
4.8,51,23,3,21668,1,6
1.7,29,23,0,18731,2,6
8.6,36,30,0,16261,1,7
4.1,27,10,0,45504,2,2
2.7,38,17,0,1668,0,3
6.5,46,11,0,37143,1,1
1.5,55,22,0,41615,0,1
1.7,20,25,2,34265,0,1
9.2,34,29,1,11014,2,7
7.7,22,7,1,22376,1,4
3.0,41,14,0,22060,2,6
5.4,52,22,2,36660,0,2
6.1,35,27,2,31140,0,2
7.5,25,19,2,38785,1,4
1.5,21,15,3,31436,0,5
5.7,61,26,0,38583,2,1
2.9,61,15,1,21305,1,6
3.3,19,4,1,40666,0,1
4.8,21,25,0,33955,1,6
3.1,34,9,1,4332,0,1
7.5,37,7,2,34304,0,4
3.3,43,11,1,36154,0,1
5.5,51,18,3,49548,2,6
4.9,46,8,0,25124,0,3
2.2,65,12,1,25162,0,1
2.2,37,24,0,31054,1,6
8.5,43,16,2,18812,0,4
1.7,50,21,2,18009,1,6
7.8,37,3,2,17958,1,6
3.8,38,17,2,15673,0,2
7.0,33,1,3,47000,2,5
4.8,63,25,2,5051,0,4
4.9,46,16,0,49233,1,1
5.7,65,6,2,31233,0,2
7.7,22,10,2,42525,0,4
8.3,23,21,1,25901,1,4
1.3,62,30,0,8438,1,1
3.0,57,16,2,35268,2,6
9.9,35,2,2,41756,1,4
6.5,49,4,3,11237,0,2
4.8,18,5,3,21286,1,2
4.3,19,21,3,35699,2,4
2.7,65,14,1,24110,0,1
6.7,24,14,2,38399,2,4
8.9,46,29,1,3009,0,5
6.9,59,6,0,30045,1,1
1.8,51,12,0,16233,0,1
1.8,43,2,1,21559,0,0
8.1,49,18,0,18529,0,1
5.8,30,3,1,49964,1,6
2.4,53,8,3,38945,1,6
7.5,36,5,2,7362,2,2
5.0,36,1,2,9219,2,7
1.3,60,23,0,2270,1,1
8.2,55,10,3,21637,2,4
9.4,31,22,2,6282,2,7
9.4,51,3,1,19062,2,4
9.7,47,4,0,21108,2,1
10.0,63,29,2,48099,1,5
10.0,48,19,3,8461,0,5
8.3,38,27,1,21358,1,4
3.0,63,22,2,20113,0,1
9.6,48,11,2,30325,0,5
7.0,42,2,0,9741,1,2
7.9,51,22,2,42688,0,4
5.9,29,13,0,8669,2,2
9.6,49,18,2,9495,0,5
4.8,43,18,0,12426,0,2
8.6,56,24,0,3013,2,5
6.4,51,20,0,41143,1,1
5.9,57,30,3,3350,0,2
7.0,55,3,3,6585,2,2
4.2,48,24,2,19549,0,2
2.1,54,26,0,23254,1,1
3.7,29,15,2,17822,0,2
8.6,28,28,3,14517,2,5
7.1,20,21,2,46657,2,4
4.4,21,28,1,27067,0,2
9.0,31,3,3,29783,0,4
4.2,41,6,2,11595,0,2
9.6,57,28,2,43464,1,5
9.0,25,4,2,14935,0,4
8.3,56,28,2,10177,0,4
4.4,37,19,3,9563,2,6
2.7,42,20,1,16262,2,6
2.9,27,19,1,5641,2,6
7.0,64,2,0,17108,1,1
7.9,60,20,0,47131,0,1
7.3,20,28,1,25002,1,4
4.4,57,2,3,7746,2,5
6.8,27,6,3,21094,0,5
3.1,42,11,1,37993,2,6
7.0,55,11,2,33063,2,4
9.3,65,26,3,25532,0,5
8.2,32,8,2,18452,1,6
9.7,60,22,0,49280,2,5
1.8,34,20,2,46868,1,1
8.2,37,16,0,16390,1,4
9.0,49,25,2,9093,2,7
7.9,49,30,1,23442,2,4
7.4,39,8,2,3335,2,4
1.9,40,14,3,16506,1,6
8.3,35,13,3,47822,2,4
7.8,34,8,3,43433,0,4
8.5,29,13,1,30010,1,4
6.5,24,26,3,23038,0,4
8.6,24,11,2,30323,1,6
1.6,34,21,3,22639,2,5
8.8,60,29,2,37045,2,5
3.2,27,28,2,46912,0,3
3.2,39,29,0,6122,1,6
1.7,53,17,0,34337,1,1
7.0,63,17,2,43648,0,4
9.2,29,28,3,46032,2,5
5.8,41,12,2,3434,2,6
2.8,41,16,1,41712,1,6
4.7,48,1,0,12188,1,1
7.3,28,15,0,29799,1,4
5.7,24,6,1,16254,0,2
2.4,47,30,0,12555,1,1
3.3,18,17,2,34214,2,1
3.0,64,10,1,16275,1,6
3.7,51,14,0,30836,0,1
1.1,23,19,3,29809,2,5
4.0,50,2,1,49890,1,6
2.3,36,9,3,47578,0,1
6.3,40,12,0,45148,1,2
9.2,31,4,3,47426,1,4
3.8,27,10,2,18885,0,2
6.0,27,22,3,46644,0,4
2.0,59,3,0,35438,2,1
8.3,19,5,0,3703,1,2
1.5,49,10,3,28863,0,1
6.6,60,20,3,1288,1,4
1.6,43,15,3,26458,0,1
3.0,42,19,2,24477,0,1
4.0,51,8,2,4892,1,2
1.0,31,6,3,16416,0,4
8.3,59,26,3,9925,1,4
8.2,26,30,1,40328,0,4
8.3,65,16,2,43720,2,4
2.2,36,17,0,11840,1,1
3.6,41,30,1,11392,1,6
5.9,60,17,2,1812,1,6
2.8,63,6,1,19180,1,6
4.2,26,2,0,3914,0,4
9.4,35,15,0,7222,1,5
5.8,54,23,3,20113,0,2
4.2,34,6,3,24756,1,5
7.0,27,4,3,43505,0,5
5.6,26,30,1,2225,2,6
5.4,47,18,3,1909,1,6
4.0,25,2,1,43581,2,3
8.9,43,17,2,32458,2,7
5.3,45,1,0,14162,1,7
6.5,37,15,2,26234,1,2
8.1,29,4,2,15228,2,2
1.6,60,18,2,3301,1,6
8.0,52,1,0,13138,1,1
9.7,51,15,1,4977,2,5
6.6,23,14,3,16045,0,4
2.9,59,29,0,10295,0,1
6.0,42,18,1,45812,0,2
8.9,55,14,0,5393,0,1
2.3,53,27,2,33592,0,3
8.7,59,4,0,42529,1,4
2.5,42,15,1,2059,1,6
8.3,46,25,0,15582,1,1
3.9,18,22,1,21184,1,6
6.8,24,10,3,1213,1,4
5.7,58,30,0,24484,0,1
2.4,60,29,1,35243,0,1
1.3,63,10,2,5012,2,6
5.8,42,28,0,16642,1,2
1.5,63,21,1,29818,2,1
2.1,55,22,0,34846,2,1
7.5,45,1,3,32087,2,2
6.7,60,30,1,18732,0,4
6.1,28,1,1,44611,2,4
2.5,43,6,2,37156,0,1
2.6,34,7,1,6583,2,1
6.5,32,5,3,47085,0,5
2.7,48,27,3,37876,2,1
9.6,65,3,2,25928,0,4
10.0,20,1,3,11824,1,4
6.9,55,7,0,12436,0,1
1.1,51,17,3,21446,2,6
7.2,40,30,3,18515,0,4
6.0,43,1,3,31785,1,4
5.9,18,10,0,3190,2,2
4.8,65,21,2,15650,1,2
1.6,63,20,1,37084,1,6
8.7,34,5,0,1132,0,4
4.5,28,24,3,49171,0,5
6.2,60,16,2,28583,0,2
5.7,18,12,1,47388,2,2
3.7,36,18,1,26245,0,2
4.6,33,20,0,43651,0,2
4.4,26,9,1,38309,0,2
6.6,40,27,1,26237,0,4
7.2,49,24,1,31976,2,4
1.3,41,5,0,32324,1,6
8.9,60,18,3,6039,1,5
7.7,47,7,1,7998,2,4
7.1,62,26,3,3735,0,4
7.9,36,9,0,30913,2,4
6.0,36,1,3,8595,1,1
9.6,26,26,1,19267,2,5
3.7,49,18,0,34741,0,2
6.1,63,22,0,15280,1,1
3.5,30,15,2,33705,0,1
9.4,23,8,3,35596,2,4
4.9,20,27,3,41529,1,5
2.0,45,28,1,8709,2,6
9.5,60,11,2,35283,1,5
1.9,49,20,1,8402,1,6
5.0,52,11,1,4523,2,2
8.5,36,11,0,29877,1,4
3.8,49,12,1,7525,1,6
1.1,65,20,1,24055,0,1
4.5,64,5,3,5425,0,2
9.0,59,1,2,42822,2,4
7.0,28,3,2,33914,0,2
1.3,34,4,2,48485,2,1
2.0,30,29,0,42425,2,1
7.6,36,29,1,3223,2,4
1.3,24,4,0,10138,0,1
1.2,60,7,0,18796,0,1
8.0,46,3,0,18171,0,1
3.6,37,25,1,30846,0,2
7.1,30,4,2,5855,1,2
6.3,58,20,2,23189,0,2
8.7,20,18,3,30050,1,5
7.4,52,1,3,20543,2,2
6.8,39,28,2,36663,1,4
2.2,50,26,1,39024,2,6
2.9,53,9,3,28951,2,1
5.8,46,3,3,573,0,6
9.7,53,2,1,46824,1,4
2.5,42,16,1,28554,0,1
5.7,29,2,1,14328,1,4
7.3,27,6,1,7544,1,2
2.0,52,10,1,43415,1,1
1.5,36,30,2,11088,2,6
2.2,41,25,2,28851,0,3
1.2,23,17,1,8472,1,1
4.7,35,5,0,26465,0,2
4.4,37,26,3,3270,1,2
6.2,32,22,2,41849,2,6
1.4,52,17,1,18533,1,6
9.8,35,26,3,44467,1,5
1.3,36,10,2,19391,0,1
5.6,48,17,0,12512,0,1
7.1,29,21,1,18439,1,4
1.2,59,9,1,47138,0,1
1.3,35,3,1,14063,2,0
7.4,36,21,3,21643,0,4
9.5,28,17,1,15176,0,5
8.8,51,12,0,1921,2,5
10.0,41,25,3,1091,1,5
7.2,32,18,2,34533,1,4
8.5,48,28,1,10911,0,4
6.3,46,24,3,12466,0,2
5.6,55,27,0,22199,2,1
4.4,37,14,3,17491,1,4
6.3,25,25,3,43539,1,5
3.3,61,14,0,38305,1,1
2.3,52,24,0,44163,0,1
3.7,23,23,0,1541,0,2
2.0,41,15,3,23552,2,6
9.4,44,1,3,13461,0,4
8.1,34,21,3,16265,0,4
3.4,32,5,0,31398,1,1
9.7,32,21,2,44452,2,5
7.1,47,24,2,8471,1,4
2.5,59,12,3,4098,1,6
5.9,59,4,0,27768,2,1
4.0,61,5,0,19143,1,3
5.8,20,19,3,9974,1,4
4.8,48,26,2,48657,1,2
4.8,19,26,2,25009,1,6
8.6,51,29,0,15110,1,5
6.5,64,26,2,46859,0,2
6.9,61,19,1,45151,1,4
1.1,25,14,1,38928,2,6
5.5,36,28,0,15503,2,2
1.8,54,7,1,2900,1,6
6.2,45,9,1,16457,1,2
3.6,65,21,2,21853,2,6
4.5,29,12,3,34086,0,5
3.5,31,28,1,48492,2,1
2.3,20,5,2,3308,2,1
7.7,39,16,2,13346,1,4
2.5,38,7,2,33833,1,1
8.7,43,21,0,30214,2,5
7.4,37,16,3,16565,2,4
3.5,31,5,0,38421,0,1
5.1,56,29,3,26825,1,2
4.1,29,24,2,44697,1,6
6.0,42,2,3,43095,1,2
9.3,31,14,3,34410,0,5
7.3,25,3,3,10096,0,5
4.0,48,13,1,35428,0,2
1.9,21,30,1,9298,2,1
1.2,65,27,1,12305,0,1
5.3,42,29,3,31999,0,2
6.3,42,23,1,45359,2,2
4.5,51,12,2,24751,0,2
3.5,46,23,3,3413,2,1
6.7,60,26,0,16268,0,1
1.7,37,1,0,46167,1,0
7.3,61,18,0,9988,2,1
2.0,49,5,1,2114,0,1
9.3,34,25,2,37632,1,6
3.8,59,27,0,31957,1,1
4.5,34,22,0,5117,0,2
9.6,51,8,1,1315,2,6
6.2,32,21,3,49586,2,4
6.9,41,7,1,32675,2,4
6.6,22,28,3,34022,0,4
8.3,39,4,1,21099,1,6
7.5,46,12,2,19894,0,4
8.9,49,1,1,4800,2,4
8.0,50,11,1,42725,0,4
5.6,54,29,1,25909,2,6
6.9,54,2,0,49081,1,1
3.4,63,5,3,39951,1,1
4.7,43,17,3,42517,0,4
8.3,23,27,3,36991,1,4
1.7,20,30,1,25862,2,1
9.2,57,22,0,15190,0,1
1.9,37,28,2,44707,2,1
7.3,39,28,0,49121,1,4
2.9,47,19,1,36551,1,1
1.4,28,16,0,33592,1,6
5.9,64,4,1,8515,0,2
6.6,62,13,1,9970,1,4
8.1,38,27,2,35899,0,4
6.0,59,20,3,9384,2,2
2.6,34,16,1,21094,2,1
7.5,23,2,1,7265,2,2
6.9,33,19,3,26558,1,4
2.7,56,19,0,33096,2,1
8.0,32,26,3,28190,2,4
8.9,25,16,2,22496,1,5
5.9,21,24,2,8867,2,2
2.8,55,12,0,33577,0,3
1.1,24,2,2,10259,0,0
4.2,28,22,0,35683,0,2
9.7,30,15,3,32860,1,5
7.1,48,21,2,4164,0,4
9.2,62,23,3,36873,0,5
2.0,64,3,3,41935,1,1
3.7,64,5,0,47609,2,1
9.8,34,5,1,30489,2,4
6.6,28,20,1,24080,1,4
9.0,45,2,0,1324,0,4
6.4,65,3,0,48582,2,1
2.0,20,27,1,8465,1,6
7.2,38,30,1,22606,1,4
4.4,39,10,1,17826,0,2
1.6,44,22,3,3337,0,1
3.2,30,12,0,39607,2,6
8.7,62,24,0,48399,2,1
1.6,65,25,0,16275,2,1
9.2,27,3,0,2240,1,6
8.0,46,7,0,39464,0,1
6.8,19,6,0,46652,1,2
6.2,23,13,2,5389,1,2
3.8,37,28,0,38390,1,6
7.9,43,3,2,8119,2,2
1.0,63,10,3,37936,1,1
2.5,28,12,1,11024,1,1
2.2,20,12,3,25009,0,5
8.7,42,21,3,4274,1,5
6.2,55,12,2,37821,1,6
2.9,49,6,0,21895,2,1
10.0,53,17,0,39839,0,1
3.3,62,2,3,20512,0,0
2.2,31,25,3,28940,1,5
3.6,54,23,2,28863,0,2
8.1,35,26,3,49644,0,4
3.2,39,16,2,15938,1,1
