age,monthly_income,monthly_savings,savings_rate,horizon_years,risk_appetite_encoded,existing_investments,dependents,income_stability,risk_category
41,349670,206907,0.592,6,0,218967,0,1,1
45,167313,32696,0.195,7,0,570451,0,0,0
39,116731,26566,0.228,29,0,151878,0,1,1
36,113501,7079,0.062,30,0,945456,4,1,0
33,113607,28570,0.251,18,0,588365,2,1,1
47,320709,161594,0.504,4,0,576775,4,0,0
20,98623,42641,0.432,10,2,862061,1,1,4
18,393048,212606,0.541,3,2,76218,4,1,3
64,482052,44986,0.093,1,2,472327,1,1,1
63,104458,17175,0.164,4,0,913589,4,1,0
65,67057,11150,0.166,10,2,278176,4,0,1
35,421921,178952,0.424,15,0,87955,2,0,1
19,114914,42334,0.368,23,0,951076,5,1,1
52,402451,153843,0.382,24,0,256713,5,1,0
63,237215,40954,0.173,17,1,995848,1,1,1
60,333837,121739,0.365,26,1,780316,4,1,1
54,364138,61133,0.168,18,0,485417,3,1,0
55,148377,83411,0.562,23,0,40809,5,0,0
48,495781,34402,0.069,8,1,751883,4,1,1
63,410719,222217,0.541,28,1,192192,2,0,1
43,73276,29063,0.397,4,0,417978,2,1,1
39,140900,26792,0.19,26,2,244883,2,1,4
60,425328,126789,0.298,27,0,563178,1,1,0
57,188976,59912,0.317,25,0,730026,1,1,0
52,65186,33145,0.508,5,2,740829,5,1,2
34,200553,41408,0.206,23,0,319278,3,1,1
41,413554,207503,0.502,21,0,394966,4,1,1
42,271147,82454,0.304,27,1,352744,4,1,2
49,57641,9806,0.17,17,2,612121,4,1,3
24,482984,209615,0.434,18,2,750294,4,1,4
47,333715,30510,0.091,3,1,935354,1,1,1
61,378587,193204,0.51,2,2,134055,1,1,2
61,192070,61846,0.322,24,0,306691,4,1,0
62,99273,14323,0.144,30,1,991542,2,1,2
47,311574,32788,0.105,18,2,882554,5,1,3
61,295128,38039,0.129,24,2,403832,1,0,2
56,270195,148748,0.551,1,1,741040,2,1,0
35,394717,176672,0.448,16,0,785332,5,0,1
32,231760,127744,0.551,24,2,43001,4,1,4
63,408439,242578,0.594,30,0,735457,0,1,1
21,468058,250596,0.535,22,0,326898,4,0,1
58,178448,60554,0.339,24,1,998916,4,1,1
40,328744,81898,0.249,20,1,554736,4,0,1
34,394999,160650,0.407,3,1,578316,4,1,1
26,122979,39701,0.323,5,1,673034,0,1,3
20,385464,93801,0.243,12,1,815624,0,1,3
51,45559,12291,0.27,15,1,997703,2,1,1
65,154092,46755,0.303,5,0,569936,1,1,0
49,397149,7396,0.019,19,1,128322,1,1,3
41,289458,24623,0.085,28,0,490042,2,0,1
30,446346,187828,0.421,25,0,898217,3,1,1
60,69708,14017,0.201,25,2,709662,1,0,2
60,490452,47534,0.097,18,1,442061,4,1,1
34,183038,77545,0.424,28,0,258722,5,0,1
24,49257,26736,0.543,2,2,263579,3,0,2
37,103807,50539,0.487,18,2,506047,0,1,4
34,93609,14077,0.15,1,1,283097,2,1,1
29,238118,62372,0.262,11,0,532101,2,0,0
40,457785,16745,0.037,14,1,232732,3,1,1
46,358076,153554,0.429,20,1,505518,5,0,1
28,304186,57930,0.19,17,1,768747,3,1,3
55,433198,213033,0.492,29,2,550719,0,1,3
29,46385,10390,0.224,12,2,755271,3,0,3
32,365114,90553,0.248,20,2,717148,3,0,3
20,166323,5526,0.033,25,1,518349,0,1,4
65,94744,10109,0.107,21,0,756097,2,1,0
34,122471,31589,0.258,18,1,388590,5,0,2
55,465864,186002,0.399,22,2,832599,0,0,2
63,189631,79319,0.418,22,1,620635,3,1,1
58,196076,88869,0.453,1,0,899187,1,1,0
19,232133,55861,0.241,26,1,651406,1,0,3
20,463002,220048,0.475,6,0,916838,0,1,2
25,384359,162361,0.422,28,1,943187,5,1,3
33,479651,278797,0.581,26,1,729497,2,0,3
59,56877,18258,0.321,18,1,72715,3,0,0
63,465795,75316,0.162,8,0,634486,4,1,0
61,302193,110361,0.365,19,1,168484,0,1,1
46,298453,60230,0.202,15,0,516998,3,0,0
38,79321,5956,0.075,24,0,995843,3,1,1
53,439065,167932,0.382,2,1,289102,1,1,0
56,425417,34426,0.081,19,1,42229,4,0,0
32,339200,163562,0.482,26,1,929065,3,1,3
19,315286,31916,0.101,5,1,388076,0,0,2
56,460280,106459,0.231,2,2,832325,0,1,1
45,349793,69674,0.199,5,0,144832,3,0,0
28,203305,49738,0.245,22,1,338511,1,1,4
29,131453,24816,0.189,1,0,769299,2,1,0
45,236184,40946,0.173,5,2,989156,3,1,2
61,361815,121891,0.337,15,2,149381,3,1,2
43,178492,85896,0.481,23,2,217285,4,1,4
22,180928,14200,0.078,19,1,943115,1,1,4
51,65272,28857,0.442,29,0,146470,2,1,1
61,99141,17115,0.173,23,1,294700,3,1,1
38,143008,28196,0.197,6,0,910830,5,0,0
18,460630,151649,0.329,11,1,781725,1,0,2
29,332282,178895,0.538,25,1,948163,0,1,4
48,329199,24508,0.074,16,0,158056,1,1,1
26,473792,209456,0.442,25,0,682568,4,1,2
58,453098,237549,0.524,14,1,790546,5,1,1
62,385898,8712,0.023,24,1,238389,0,1,2
18,47723,9806,0.205,15,0,208786,3,1,1
52,435659,84973,0.195,26,2,760674,5,1,2
19,359720,112522,0.313,21,1,268615,1,1,3
54,440814,147635,0.335,4,2,335914,5,1,1
61,360858,194420,0.539,21,2,850538,4,1,3
32,65379,18076,0.276,13,1,955154,1,0,2
21,289295,62716,0.217,20,1,691738,4,1,3
53,477373,17289,0.036,17,0,940675,1,0,0
28,250662,119014,0.475,12,1,947238,4,0,2
59,139735,29611,0.212,20,1,362246,5,1,1
62,426889,212738,0.498,13,2,196501,5,1,2
32,101929,15617,0.153,25,0,555689,0,0,1
54,271459,115641,0.426,24,2,429667,3,1,3
27,481792,265337,0.551,5,2,550448,2,1,4
50,299158,85532,0.286,17,1,863663,4,1,1
27,225768,32213,0.143,13,0,451000,5,0,0
52,24358,11780,0.484,7,0,229104,2,1,0
56,190604,59253,0.311,4,0,635232,3,0,0
25,74624,15106,0.202,6,0,912358,3,1,1
61,318522,140327,0.441,21,1,165575,1,1,2
61,327257,79069,0.242,6,1,251051,1,1,1
25,151733,49843,0.328,26,0,42828,4,1,1
33,252041,93733,0.372,25,2,256911,3,1,4
33,363581,103540,0.285,23,2,310375,5,1,4
57,213783,46323,0.217,1,0,737565,4,0,0
49,139968,81559,0.583,12,1,534003,1,0,2
53,139264,10782,0.077,18,0,124481,0,0,0
28,409954,43067,0.105,30,2,18073,3,1,4
23,365506,95517,0.261,11,2,921941,3,1,4
52,490173,196703,0.401,10,1,990669,5,0,0
24,60461,13264,0.219,15,0,810658,1,0,1
19,356664,199812,0.56,22,0,643235,5,0,1
33,188757,78965,0.418,29,2,690658,0,1,4
38,256513,22347,0.087,25,2,964163,4,1,3
49,392863,16871,0.043,28,0,729630,5,1,1
49,431484,213938,0.496,30,1,234555,2,1,3
22,62913,36497,0.58,25,1,973181,2,1,4
40,210546,49936,0.237,3,0,202056,3,1,0
24,117359,62743,0.535,28,0,621827,3,1,2
46,380867,17411,0.046,6,2,843441,4,1,3
52,378918,31715,0.084,22,1,555462,4,1,1
55,224366,114204,0.509,10,2,630585,4,0,1
38,341497,118132,0.346,21,0,100689,4,1,0
28,155870,27420,0.176,20,2,291444,1,0,4
51,410707,42487,0.103,28,1,807655,2,1,1
38,215113,113940,0.53,17,0,424127,0,1,2
58,124576,69641,0.559,28,0,304224,1,1,1
45,409878,229033,0.559,8,2,744149,0,1,4
40,438647,61492,0.14,19,0,554399,3,1,0
40,83530,41224,0.494,13,2,909719,2,0,3
22,167603,93340,0.557,8,1,141214,5,1,3
22,258340,109797,0.425,22,1,828965,3,1,3
25,269599,132896,0.493,9,1,489934,1,0,3
58,472776,128257,0.271,23,1,269054,1,1,1
53,438443,142050,0.324,8,1,321909,4,1,0
51,208938,21905,0.105,15,0,451495,1,0,0
42,90119,43714,0.485,14,1,629720,1,1,3
49,347090,103989,0.3,17,0,77794,1,1,1
56,358416,42643,0.119,9,2,187921,4,1,2
57,337677,87566,0.259,23,2,451157,5,1,2
39,43387,21140,0.487,18,1,588316,4,1,2
40,40567,15517,0.383,11,0,67260,0,1,1
36,364086,187684,0.515,30,2,104555,0,1,4
33,478311,60147,0.126,5,2,475584,3,0,2
49,259423,100081,0.386,2,2,592344,1,1,2
19,182728,72695,0.398,13,0,117235,3,0,0
43,161877,40851,0.252,17,1,377869,0,1,3
48,287254,17087,0.059,19,0,869049,3,1,0
21,127539,23313,0.183,24,1,114914,1,1,4
38,100073,31661,0.316,14,0,955308,3,1,0
24,88099,41060,0.466,14,2,671447,4,1,4
41,347841,21029,0.06,18,2,194718,3,1,3
63,337650,83229,0.246,24,0,324683,5,1,0
36,77775,21044,0.271,4,1,290998,0,1,2
35,381278,137723,0.361,17,2,418267,2,1,4
50,473008,35447,0.075,15,2,516494,5,1,2
28,427688,247265,0.578,16,0,644600,3,1,2
62,497746,28284,0.057,19,1,811554,5,0,0
22,82812,12999,0.157,5,0,523156,1,1,1
56,469830,10105,0.022,3,0,789271,0,0,0
58,426709,22069,0.052,28,0,663070,3,1,0
45,385446,136234,0.353,23,1,148087,1,0,2
48,160905,12896,0.08,13,1,775723,0,1,2
24,247966,129302,0.521,18,2,66707,4,0,4
61,131487,27669,0.21,25,0,411961,4,0,0
41,46928,23322,0.497,19,0,62292,3,1,1
58,288448,12345,0.043,21,2,932856,5,1,2
51,222779,28481,0.128,11,0,842150,5,1,0
51,279013,55669,0.2,6,1,331328,1,0,0
65,360402,148996,0.413,7,1,258635,5,1,1
27,168066,72263,0.43,19,2,797232,4,0,4
39,25774,11519,0.447,8,0,882766,5,0,0
31,134586,61700,0.458,9,1,171033,0,0,2
25,373323,28648,0.077,10,2,21253,3,1,3
60,445874,142924,0.321,19,2,657911,3,1,2
53,339972,143311,0.422,23,0,938542,5,1,0
59,420187,165211,0.393,6,1,477958,2,1,1
25,315524,134951,0.428,28,2,746084,3,1,4
63,406805,10906,0.027,9,2,342829,0,1,2
55,218137,31170,0.143,23,2,401220,0,0,2
21,374195,160289,0.428,30,1,219780,2,0,3
23,182002,86835,0.477,25,2,742849,3,1,4
38,232695,51305,0.22,22,2,787019,3,1,3
43,241373,100648,0.417,21,2,542387,1,1,4
64,442225,207041,0.468,11,0,870678,5,1,0
44,487874,194139,0.398,29,1,656449,2,1,3
45,143950,72494,0.504,6,0,38547,3,1,0
64,75077,42396,0.565,3,0,443316,5,1,0
53,495595,103696,0.209,3,0,711886,1,1,0
63,153669,70677,0.46,4,0,74567,5,1,0
47,484894,17109,0.035,27,0,139544,5,1,1
36,35282,7946,0.225,10,2,941768,3,0,2
24,48365,12230,0.253,9,2,276091,0,0,4
57,63472,11816,0.186,24,0,308877,2,0,0
58,112493,64613,0.574,9,2,270403,3,1,2
58,83095,10374,0.125,23,0,74813,0,0,0
29,205378,71314,0.347,14,1,460244,4,0,1
50,92692,7044,0.076,9,0,751496,3,1,0
51,332023,64871,0.195,1,0,491862,3,1,0
36,308793,132795,0.43,29,1,669927,4,1,2
37,475160,33803,0.071,23,2,436571,3,0,2
44,293334,67824,0.231,1,2,564485,5,0,0
34,419932,91795,0.219,6,1,659738,2,0,1
52,365519,192116,0.526,20,0,924300,4,0,0
63,270736,63557,0.235,8,2,749971,3,0,1
59,156554,70333,0.449,30,0,182024,4,0,0
34,315767,40634,0.129,27,2,311478,0,0,4
28,103276,57781,0.559,13,0,961703,3,1,1
25,98279,47092,0.479,12,0,199919,0,1,2
35,459953,43211,0.094,30,0,780926,3,1,1
36,54542,15651,0.287,8,0,888544,3,0,0
46,368264,119889,0.326,2,2,665418,4,0,0
35,352338,81917,0.232,9,0,106022,3,0,0
46,181445,38154,0.21,16,1,203047,1,0,2
29,22282,6856,0.308,23,0,853966,1,1,2
42,224054,55583,0.248,25,1,624411,4,1,2
35,403395,237034,0.588,13,2,231496,4,1,4
49,168930,89162,0.528,28,2,316456,2,1,4
53,148379,50734,0.342,2,0,999430,3,0,0
35,284155,125234,0.441,15,2,929242,5,1,4
55,421983,27852,0.066,8,1,732847,3,1,0
62,455633,155871,0.342,27,2,645194,4,1,2
44,27597,9458,0.343,27,1,732722,1,1,3
59,272388,138241,0.508,29,0,465065,3,1,0
40,174245,35403,0.203,18,0,543088,4,0,0
62,187647,110455,0.589,22,0,396452,0,1,1
51,28556,9916,0.347,27,2,50098,2,1,3
38,195021,87302,0.448,12,0,467243,2,1,1
18,119931,35654,0.297,24,0,842210,4,1,1
34,367234,25219,0.069,18,1,177912,1,1,3
56,170023,6307,0.037,5,0,821860,3,1,0
51,438058,31421,0.072,13,2,412811,5,0,1
28,46086,21859,0.474,5,0,394423,3,1,1
61,58635,28347,0.483,6,2,864950,1,1,3
28,441280,127813,0.29,24,2,283022,2,1,4
31,220410,99289,0.45,28,2,284334,3,1,4
52,170575,53456,0.313,8,0,794448,0,1,0
30,438734,29045,0.066,29,2,614390,1,1,4
46,156917,91698,0.584,3,1,543625,1,1,1
58,335031,86442,0.258,24,1,741432,5,0,0
36,404369,15503,0.038,26,0,912871,5,0,0
18,276910,125356,0.453,13,0,641211,0,1,2
53,376898,80969,0.215,8,2,339208,1,0,1
55,479850,286954,0.598,8,2,41869,3,1,2
49,238401,27031,0.113,2,0,584054,1,1,0
19,136185,51092,0.375,24,2,751518,3,1,4
20,88487,22622,0.256,14,1,235062,2,0,2
34,428808,158245,0.369,21,0,951828,2,1,2
42,443966,212184,0.478,23,2,562621,1,1,4
49,163217,85909,0.526,18,1,107507,4,1,3
39,262717,126534,0.482,4,0,187450,1,1,1
58,492779,59238,0.12,17,1,247644,1,1,2
39,309061,158808,0.514,23,1,734983,0,1,3
51,156643,21209,0.135,15,2,960652,2,1,3
65,199767,114988,0.576,17,1,238038,1,1,2
38,163252,20372,0.125,5,0,511511,3,0,0
21,131022,59040,0.451,30,0,602644,3,1,2
54,173077,59575,0.344,7,0,591202,1,1,0
52,287499,59120,0.206,28,2,996364,1,1,3
26,40808,7005,0.172,1,0,501590,4,0,0
26,38135,19609,0.514,3,1,245739,3,1,1
53,80948,38002,0.469,3,0,990520,0,0,0
27,469076,67507,0.144,15,0,241225,5,0,1
52,306616,172093,0.561,20,0,979114,0,1,1
43,243461,107518,0.442,28,2,338384,3,1,4
51,443332,86029,0.194,7,0,29336,0,1,0
24,334099,66240,0.198,30,2,711028,3,1,4
49,24426,11919,0.488,1,2,441048,4,1,2
21,196743,95306,0.484,29,0,526492,1,1,3
61,471801,243083,0.515,26,0,623222,4,1,0
37,229329,66215,0.289,28,1,868584,0,0,2
43,133688,51473,0.385,27,0,490834,2,1,1
25,408455,214987,0.526,15,2,249243,2,0,4
41,43989,14915,0.339,25,2,352414,0,1,4
43,390416,21241,0.054,5,0,702922,5,1,0
49,434841,240796,0.554,14,0,253317,5,1,0
35,478317,48309,0.101,13,2,853725,2,0,3
60,159883,29272,0.183,16,2,747852,1,1,3
45,261131,33328,0.128,16,2,812283,2,1,4
42,345905,43870,0.127,23,1,123765,1,1,3
21,217227,104186,0.48,29,2,260220,1,1,4
51,484118,221204,0.457,10,1,298335,3,0,0
18,469962,98783,0.21,18,1,972892,5,1,3
45,220191,86051,0.391,10,2,370858,4,0,2
57,104289,25022,0.24,8,2,682773,4,0,1
62,425513,73323,0.172,9,1,564983,2,1,1
18,498879,112096,0.225,29,2,610032,2,1,4
56,433274,156385,0.361,14,0,839953,4,0,0
37,495828,253922,0.512,18,0,706673,0,0,1
58,263588,39681,0.151,1,0,982293,1,1,0
58,104700,17996,0.172,11,2,49812,2,1,2
24,240462,47998,0.2,7,1,963111,4,1,2
21,194870,79601,0.408,20,2,310001,3,0,4
65,233606,68353,0.293,15,2,362916,0,1,3
41,391994,50095,0.128,29,1,964572,1,1,2
40,457100,259205,0.567,21,1,168616,0,1,3
23,316292,117230,0.371,6,0,994620,3,0,0
22,173484,98526,0.568,26,1,192029,5,1,3
65,50106,21589,0.431,25,1,217583,2,1,2
39,48884,7708,0.158,8,0,319759,2,1,1
59,416489,183207,0.44,27,1,490238,5,1,1
64,315064,147228,0.467,5,1,920304,0,1,1
53,53872,15728,0.292,24,1,807015,2,1,1
51,295194,71216,0.241,29,0,545932,5,1,0
20,449392,30675,0.068,16,2,92268,0,1,4
49,316063,78155,0.247,18,0,201554,2,1,1
57,286317,114369,0.399,1,1,70305,4,0,0
23,207256,87912,0.424,17,2,655348,0,1,4
33,413605,104303,0.252,13,1,931298,2,1,3
40,111649,24477,0.219,19,0,217060,5,1,0
20,425105,29335,0.069,23,2,273586,1,0,4
29,170653,64722,0.379,5,2,147595,0,1,4
22,161880,77525,0.479,5,1,263031,2,1,3
39,272100,127746,0.469,2,1,608814,3,1,0
37,416981,122126,0.293,15,2,75277,2,1,4
58,114776,30991,0.27,26,1,628380,1,0,1
23,257113,100556,0.391,28,1,324264,4,0,2
29,310374,64778,0.209,10,1,556376,2,0,2
41,96361,27693,0.287,22,1,522154,2,0,2
37,215691,66842,0.31,20,2,289134,1,0,3
51,264629,133133,0.503,15,2,3849,0,1,3
53,74330,23689,0.319,29,0,526930,1,1,0
32,330586,108061,0.327,19,0,361719,5,1,1
18,80272,42164,0.525,4,2,738096,0,1,4
18,126121,7093,0.056,10,1,860335,5,0,1
52,202003,12674,0.063,21,2,259480,3,1,2
21,351356,138498,0.394,9,2,90009,2,1,4
59,286161,15451,0.054,13,2,221552,4,1,2
49,115667,59318,0.513,1,0,808301,4,0,0
20,73053,22568,0.309,11,1,558685,1,1,3
36,418499,143682,0.343,13,1,993666,1,1,2
34,194588,34061,0.175,11,0,475430,0,1,1
50,373973,97708,0.261,9,1,143927,2,1,1
55,497177,185903,0.374,4,1,654587,2,1,1
45,355377,160489,0.452,22,2,913081,0,0,4
60,49493,13003,0.263,28,2,138368,2,1,3
18,349317,36781,0.105,21,0,770692,0,0,1
62,329550,68059,0.207,19,2,775107,4,0,1
29,359387,40098,0.112,24,1,658966,0,1,3
42,262998,138663,0.527,23,0,353827,5,1,1
59,81753,24238,0.296,16,0,23408,4,1,0
22,281545,168926,0.6,17,2,745423,2,1,4
39,210920,116900,0.554,15,0,880214,4,1,1
62,25520,8687,0.34,21,1,647652,5,1,1
47,483509,255144,0.528,30,0,594557,2,1,2
51,275688,115107,0.418,11,1,786086,5,0,0
32,23453,9507,0.405,24,2,794760,0,1,4
64,254473,13640,0.054,29,1,685409,2,1,2
18,326081,148279,0.455,15,0,404015,0,1,3
41,265017,76696,0.289,7,0,58692,1,1,1
24,181081,104120,0.575,7,0,524480,0,1,2
20,60142,8700,0.145,11,1,423291,0,1,3
26,71831,38272,0.533,22,0,993778,3,1,2
36,200882,108361,0.539,9,0,917262,2,0,1
63,57405,7104,0.124,8,1,698802,1,0,0
57,227139,123094,0.542,28,0,76848,4,1,0
30,464972,7382,0.016,20,0,950906,1,1,2
57,493146,294341,0.597,4,2,417339,3,0,1
48,129162,13026,0.101,30,2,295809,5,1,3
51,468828,180607,0.385,15,0,878499,0,1,0
54,351119,168244,0.479,30,2,976351,1,1,3
45,144168,40710,0.282,28,1,953244,1,1,3
40,299518,86471,0.289,26,1,830948,4,1,2
30,59178,5053,0.085,16,2,300856,4,0,3
47,489725,11859,0.024,10,2,756942,0,1,3
40,393393,12485,0.032,17,1,945957,0,0,2
55,294370,98405,0.334,29,0,687069,4,1,0
44,399747,163598,0.409,22,1,445414,4,1,2
21,437247,211614,0.484,23,1,374743,3,1,3
25,110880,8748,0.079,22,1,867196,4,1,3
32,390180,155331,0.398,24,1,426673,5,1,3
46,98278,17391,0.177,13,1,382865,1,1,2
50,201429,91908,0.456,6,2,486675,3,1,2
27,463842,28386,0.061,3,2,290446,4,1,2
52,393747,212306,0.539,27,0,201202,5,1,0
52,446149,262438,0.588,14,1,445872,3,0,0
32,187679,88178,0.47,26,2,778754,4,1,4
46,90014,13210,0.147,11,1,522313,4,1,1
37,133711,16094,0.12,24,2,792173,1,1,4
38,186667,35257,0.189,4,1,922736,1,1,2
42,438829,19026,0.043,11,0,969617,2,1,1
38,242123,41182,0.17,9,2,491006,0,1,3
27,20917,6874,0.329,1,2,777475,0,0,2
64,149744,64821,0.433,14,1,437651,1,1,2
60,397038,91795,0.231,8,1,659987,5,1,0
30,39404,23241,0.59,5,0,674533,1,1,2
43,390250,29519,0.076,12,2,994453,3,0,2
37,321494,182295,0.567,14,1,415466,4,1,2
65,341690,110686,0.324,24,2,947272,2,0,2
48,428376,192655,0.45,15,2,140148,5,0,3
56,410452,10750,0.026,12,0,511760,1,1,0
24,448395,122305,0.273,2,2,485651,1,0,2
27,65619,24539,0.374,3,0,65149,0,1,0
57,372365,119879,0.322,8,0,361309,3,1,0
45,428624,194052,0.453,13,0,831257,5,1,1
22,460511,50541,0.11,10,1,714647,2,0,2
40,432736,221310,0.511,10,0,423350,1,0,0
42,315599,164090,0.52,12,0,611726,1,1,1
56,257068,48856,0.19,9,1,421594,4,1,0
61,137797,22618,0.164,28,2,293624,2,1,3
33,484310,195246,0.403,4,2,768223,5,1,4
43,446253,93059,0.209,7,0,633676,2,0,0
55,403095,128099,0.318,21,1,54722,3,1,1
49,346053,77391,0.224,23,1,768184,5,1,2
52,244137,91402,0.374,27,0,926522,4,1,0
58,374590,34437,0.092,21,1,964179,5,1,1
62,293022,7985,0.027,18,0,565523,3,1,0
32,202220,118936,0.588,24,1,103751,1,1,4
40,359629,79055,0.22,8,2,470489,2,1,4
35,470046,202478,0.431,13,1,689884,5,1,3
30,377546,35676,0.094,30,0,181871,0,1,2
27,255998,52574,0.205,20,1,577952,0,1,4
64,170528,79795,0.468,3,2,275553,0,1,2
