fund_category_encoded,horizon_years,risk_score,market_condition,expense_ratio,aum_category,sip_amount,age,pessimistic_return,base_return,optimistic_return
5,23,3.0,2,1.06,0,10024,26,13.39,26.21,33.23
2,17,6.3,2,1.19,2,46219,42,11.62,18.19,20.65
5,26,1.1,0,1.34,0,46663,58,7.24,19.05,24.01
6,19,2.9,2,0.94,1,28452,62,13.73,20.52,22.18
1,2,5.8,0,1.06,1,26022,21,1.98,3.97,5.84
6,23,2.4,1,2.18,0,45868,20,10.57,15.59,17.46
2,19,6.9,2,1.83,2,35411,41,14.01,16.68,20.78
7,18,1.1,2,1.87,0,20579,36,11.28,20.4,36.76
1,2,4.3,2,0.74,0,34072,55,9.1,9.99,12.4
6,17,5.4,0,0.74,1,41696,42,7.29,11.43,18.66
4,2,3.5,2,2.07,0,27165,53,16.35,16.82,22.86
2,8,3.3,0,1.7,2,28029,62,6.72,8.29,13.13
5,11,2.7,0,1.55,1,24563,53,10.14,16.82,28.8
0,26,1.3,2,1.53,2,12612,62,6.74,8.99,10.71
0,25,7.3,1,1.2,2,45686,54,4.85,8.14,9.84
0,15,1.8,2,1.86,0,11844,40,7.73,9.77,12.42
2,26,1.5,1,0.19,1,30211,24,11.56,14.89,18.14
7,18,4.8,0,1.24,1,26010,52,6.08,17.48,21.91
3,13,1.7,0,1.37,1,21162,40,5.31,10.47,15.25
1,12,3.1,2,1.21,1,37614,30,9.17,11.63,15.63
4,12,6.6,2,1.06,1,25074,56,14.57,22.32,25.59
4,25,3.5,0,2.47,0,4994,41,8.25,17.25,21.04
6,24,9.0,2,2.27,1,48780,24,14.26,18.05,23.75
1,25,3.0,0,2.4,1,16376,22,2.17,4.53,8.26
2,10,5.6,1,1.77,2,29331,52,10.22,13.26,16.1
0,3,9.6,1,2.04,0,16085,41,4.06,5.03,6.38
4,28,2.0,0,2.48,1,10016,49,9.32,18.2,21.87
7,19,8.8,0,0.48,0,40192,60,4.77,18.61,24.77
4,11,9.7,0,0.17,2,13213,27,9.55,14.75,27.32
7,2,6.7,0,1.97,1,11206,47,2.63,12.72,25.38
4,29,8.1,1,2.37,0,15359,39,13.35,17.21,21.81
4,11,8.4,2,1.27,2,27582,40,15.86,18.89,29.36
6,15,8.2,0,0.82,1,47266,31,6.41,11.53,20.12
2,1,3.9,1,0.65,0,48790,42,12.32,12.86,16.54
0,17,1.8,2,1.19,1,31207,24,8.22,10.49,11.98
5,7,2.1,0,0.58,0,5609,19,11.24,16.78,23.77
6,6,3.6,0,1.92,1,30587,28,8.14,9.3,13.82
7,18,3.9,1,1.38,0,45504,47,9.02,17.22,26.96
5,26,8.2,1,0.2,0,6590,20,12.45,24.68,37.92
6,27,5.4,2,2.25,1,28461,39,13.22,17.6,22.33
5,12,3.2,0,1.25,2,27245,36,11.73,19.39,29.65
1,19,3.1,0,1.28,1,9446,52,2.67,5.25,7.58
4,26,7.7,0,0.93,1,39943,41,9.09,15.28,26.38
3,6,6.9,2,1.52,1,21616,29,12.19,14.94,18.33
3,16,6.4,1,0.67,1,49653,54,10.62,14.72,15.32
1,7,2.5,2,0.85,1,43506,18,9.34,9.39,13.26
2,22,2.5,1,1.18,1,20316,18,10.49,14.27,21.77
6,5,5.8,0,2.13,2,2242,23,5.31,8.86,12.15
3,26,1.4,2,0.64,0,28904,22,11.43,14.7,19.44
2,18,4.1,1,0.44,1,33056,33,12.18,16.17,17.26
4,6,8.8,1,0.71,0,47914,43,12.23,15.72,23.97
0,14,9.3,0,0.62,1,20008,65,2.29,4.07,6.82
7,13,8.0,0,0.79,2,26423,51,5.42,15.83,29.23
2,1,2.1,1,1.66,0,4226,18,10.42,11.58,14.35
0,17,5.0,1,0.28,2,11707,63,5.95,8.29,10.05
6,12,5.3,2,1.94,1,16673,61,13.52,15.85,21.19
2,19,1.5,0,1.25,2,47381,31,7.96,10.44,13.43
3,30,7.4,0,2.44,1,21329,28,3.94,10.27,15.67
0,10,2.7,1,2.03,0,22175,62,4.66,6.47,7.25
1,24,4.7,0,2.27,0,36493,44,1.95,5.18,7.23
1,19,6.6,0,1.12,0,26660,52,3.1,5.0,7.72
2,10,3.3,0,1.53,1,21900,19,5.73,8.86,12.19
0,17,1.1,1,0.35,1,34393,59,6.47,8.92,9.13
5,9,6.6,0,1.35,1,5551,22,6.22,21.13,26.31
3,29,5.1,1,1.71,2,19701,55,9.16,13.23,16.06
7,10,1.9,0,2.07,0,46979,29,7.74,13.78,23.21
5,21,1.8,1,0.31,2,5395,50,12.6,21.69,26.86
0,9,5.6,2,1.05,2,18573,21,7.78,10.01,12.35
3,10,5.5,0,0.38,1,22432,52,6.67,9.37,13.29
2,2,2.4,2,0.93,1,49395,27,14.84,14.88,20.91
5,16,7.9,0,0.86,2,23929,42,8.04,16.88,31.15
6,14,8.9,0,0.35,1,18768,60,6.87,12.5,17.55
2,18,1.5,2,2.46,2,45436,52,11.97,16.55,21.3
7,17,3.1,0,1.6,1,15922,54,7.72,14.26,19.97
5,7,7.6,1,2.41,2,4981,44,9.59,23.7,30.31
1,18,6.7,0,2.02,0,1171,53,2.39,3.39,7.29
4,26,2.1,1,0.88,1,21723,52,13.31,18.66,26.7
3,16,3.3,1,2.33,0,42174,51,8.21,12.77,16.97
4,19,2.0,0,1.16,0,29258,60,10.48,16.55,18.88
3,11,9.7,2,1.69,2,28638,22,9.4,15.83,20.06
7,28,9.1,0,2.44,2,26038,53,4.67,17.46,30.51
6,16,8.3,1,0.41,2,24453,26,11.03,16.25,22.42
5,20,2.1,2,2.23,0,12758,49,14.48,28.09,32.17
6,12,1.5,1,1.91,0,44041,45,9.93,14.56,18.55
6,15,5.6,0,1.09,0,2224,50,8.4,12.12,18.37
6,8,5.2,0,1.88,2,17332,21,6.13,10.34,14.6
7,14,6.5,2,1.75,0,19863,39,13.39,25.22,35.42
5,24,5.5,1,0.98,0,38519,37,14.23,20.61,28.28
4,20,4.6,2,1.25,1,4086,41,14.8,19.46,31.56
3,28,3.9,2,0.28,1,42592,29,14.09,14.75,22.22
3,30,4.0,2,0.67,2,2151,45,12.31,19.66,23.13
2,15,4.7,1,1.89,2,14972,43,10.47,13.15,16.03
4,19,9.5,1,2.15,1,16870,22,11.79,14.07,28.28
0,24,7.6,1,0.24,1,47407,61,6.02,8.2,10.05
3,7,3.2,1,0.7,1,35282,59,11.25,13.56,14.45
2,7,1.8,2,0.15,2,1671,41,12.87,16.42,18.16
0,5,9.8,1,0.45,2,35021,54,4.76,7.05,7.6
6,22,6.1,0,2.45,0,8021,45,7.26,9.78,16.9
5,2,5.4,0,0.44,1,46636,19,6.57,21.56,25.71
2,10,9.8,2,1.99,2,19208,37,11.72,15.48,22.26
5,27,9.5,1,1.9,0,29618,19,8.24,25.22,38.15
0,27,4.4,2,1.16,2,3051,29,7.65,11.25,13.48
6,9,4.6,1,1.38,1,7471,37,12.13,13.81,19.48
3,1,1.3,0,1.86,2,25688,21,5.46,9.57,11.74
6,16,9.9,0,2.46,0,1783,45,7.16,11.13,18.14
1,26,1.7,0,2.44,0,49916,55,2.15,5.37,6.57
3,9,4.2,1,2.07,1,42445,65,9.14,12.71,13.83
1,11,6.9,1,1.87,2,11601,32,4.24,7.37,10.61
7,28,7.1,1,2.15,0,21947,40,6.01,16.8,36.65
3,12,3.1,0,1.99,0,10949,50,5.99,7.22,11.61
5,4,4.4,1,1.01,1,6642,31,12.64,17.49,30.45
4,7,6.6,0,0.83,2,29804,36,11.39,11.99,21.82
5,9,1.1,0,2.08,0,11740,31,9.43,14.98,31.91
6,23,5.8,1,2.01,1,1278,63,11.69,15.33,18.79
0,21,1.8,0,0.18,2,9668,51,1.47,4.23,7.25
0,19,9.0,0,0.51,0,24870,55,1.92,4.22,6.25
5,12,5.4,1,0.73,1,11690,58,12.07,22.36,27.35
7,19,3.5,0,1.18,0,3300,52,5.27,17.35,22.07
5,17,1.1,1,2.1,0,37965,56,13.26,22.3,30.39
0,17,2.0,2,2.21,2,3612,56,6.9,9.5,11.6
0,8,4.8,0,1.81,0,3811,50,1.4,2.65,3.97
5,1,5.1,1,0.32,2,11151,57,13.99,18.97,25.58
6,29,7.1,1,2.23,0,9601,35,8.64,13.1,20.33
2,16,9.9,1,0.13,1,29439,52,10.74,13.63,19.16
7,25,1.6,0,1.76,1,35926,62,5.3,13.97,28.29
6,9,4.9,2,1.5,1,49646,53,13.86,17.97,20.44
4,24,7.9,2,0.47,0,40879,35,14.11,19.87,28.75
1,16,3.0,1,1.19,0,18784,22,7.04,8.59,10.72
5,27,2.3,0,0.79,0,2669,54,11.94,18.53,32.71
4,16,8.0,0,0.47,0,2432,51,8.23,14.99,25.42
4,19,2.6,0,0.92,0,8991,28,10.09,13.92,22.25
2,29,9.9,1,1.6,0,45195,36,9.57,15.49,17.22
2,27,9.2,2,0.95,2,20095,38,12.76,19.38,22.19
3,12,7.8,1,1.51,1,38615,55,8.37,13.68,19.0
2,18,7.5,0,2.45,1,21583,64,5.93,10.64,17.69
0,1,9.0,2,0.85,2,2990,22,8.58,9.12,10.22
4,22,7.5,1,1.37,1,776,33,14.43,18.3,30.65
6,5,1.1,0,2.07,0,11890,18,7.32,9.92,11.84
7,4,4.7,1,0.83,2,42369,30,10.67,15.67,31.55
1,28,7.4,1,0.27,0,10850,48,5.82,8.7,12.53
2,22,3.9,0,2.12,0,16092,47,7.03,10.99,14.08
5,10,6.3,1,0.27,1,15873,45,11.73,19.58,29.14
2,23,7.5,2,0.48,1,38213,51,13.4,17.6,24.23
7,18,5.2,1,0.69,0,5776,45,8.51,18.57,28.39
3,18,9.0,0,1.11,1,49195,29,6.22,9.4,15.48
6,23,3.3,2,1.7,0,24927,28,15.0,18.29,20.89
3,5,1.4,0,1.3,2,19471,58,6.31,8.0,11.06
1,16,4.3,1,1.23,1,28247,62,7.42,8.61,11.1
5,22,6.2,0,0.79,2,7980,27,9.36,16.55,31.66
5,10,1.3,2,1.07,0,36521,41,16.78,28.12,29.06
6,28,3.4,0,1.35,1,4366,59,9.3,12.92,13.81
5,12,1.0,2,1.69,0,21436,49,16.2,23.47,35.08
3,8,1.6,0,2.35,1,31631,30,6.26,8.45,10.56
2,26,2.8,1,2.25,0,46973,62,9.23,16.31,18.55
6,20,4.0,1,1.23,2,25234,58,11.12,16.56,22.11
5,27,7.8,0,2.38,1,27576,23,5.6,18.37,31.87
5,3,2.5,0,1.26,0,28382,61,10.49,22.0,27.08
0,18,6.3,2,0.61,1,31373,23,7.92,11.02,12.92
6,8,2.5,1,1.82,2,23860,60,11.0,14.0,18.83
1,11,1.4,1,0.87,1,20522,25,6.7,9.2,10.87
4,10,9.1,1,1.05,2,2676,49,12.49,17.31,27.86
4,20,4.5,0,0.96,0,15917,43,10.44,13.23,22.79
4,4,6.2,2,1.45,0,23126,29,16.62,19.78,24.46
6,18,2.8,0,0.71,2,29283,56,7.35,13.35,16.16
0,3,1.9,2,2.11,0,16023,51,5.81,8.48,9.24
4,30,5.8,0,1.1,1,38713,54,11.02,13.98,20.0
7,19,1.5,1,1.86,2,20124,22,9.75,20.49,31.46
7,27,10.0,2,0.63,1,29384,38,9.91,21.81,30.25
0,11,6.7,1,0.74,2,33420,38,4.96,8.19,10.07
1,7,8.7,0,0.76,2,1180,46,2.75,4.58,7.4
4,23,5.9,0,1.01,2,20055,49,9.46,17.8,19.56
1,29,1.9,2,1.3,1,17876,57,9.18,11.37,14.63
7,30,6.0,2,2.21,0,4231,48,11.31,20.65,35.9
2,18,8.5,2,1.61,0,612,29,10.32,14.71,23.29
0,28,4.6,1,0.69,0,30513,65,5.08,7.55,9.29
6,19,8.1,0,0.34,0,15666,27,8.41,11.25,18.84
0,5,2.7,0,0.59,0,28730,20,2.18,2.34,3.81
6,27,1.7,1,0.26,0,46505,37,12.03,17.34,22.16
7,6,3.8,2,1.53,0,40887,18,9.25,21.58,30.84
4,4,9.4,0,1.18,0,41085,53,9.43,15.06,21.65
1,18,7.7,1,0.32,2,29538,32,7.8,9.28,10.83
6,17,8.4,2,1.87,2,38387,50,11.51,16.76,22.17
2,30,6.5,2,1.53,1,26749,35,12.19,17.65,23.34
7,27,5.7,2,1.95,0,24124,23,13.13,21.35,34.24
2,28,8.5,1,1.66,0,26434,45,8.19,14.3,19.12
2,22,1.3,2,0.77,2,13761,55,14.93,17.24,19.41
6,3,8.3,2,0.37,0,33463,29,11.42,15.92,23.19
6,14,9.2,0,0.88,1,1700,59,6.59,11.42,19.22
0,22,8.2,2,2.11,2,25027,20,5.75,8.48,10.86
7,23,4.9,2,0.1,1,42105,61,13.49,19.85,28.43
1,15,1.9,1,1.35,2,27329,56,6.57,9.94,10.1
2,3,7.3,2,1.91,0,26021,51,10.26,15.29,20.48
0,21,2.1,0,1.15,1,6660,24,1.88,5.43,6.89
2,15,9.0,2,1.75,0,37161,45,12.41,17.03,22.77
3,19,3.6,2,1.18,2,38325,58,14.09,16.02,19.19
7,8,8.9,2,1.4,2,25807,62,11.33,21.52,36.32
2,22,7.6,2,1.8,2,24623,28,12.2,16.15,20.81
3,2,8.0,2,0.22,0,17133,54,11.54,15.04,19.59
2,7,7.0,2,2.24,0,12205,34,12.33,16.14,20.29
3,10,4.7,2,0.75,2,39212,57,12.86,17.37,20.97
7,17,6.3,1,1.02,1,5386,35,13.13,20.04,28.77
5,13,8.4,0,1.77,0,1422,53,8.99,15.32,34.91
6,6,8.1,1,1.78,0,16399,25,7.93,13.61,17.65
1,16,3.9,1,2.23,2,24976,24,6.03,8.56,10.33
7,6,1.9,2,2.34,2,39891,27,8.98,19.09,29.76
5,28,6.9,2,0.14,2,43969,41,16.48,27.86,32.05
2,3,6.6,0,1.07,2,11276,21,8.07,11.6,13.15
7,11,9.4,2,1.58,2,5496,38,11.56,23.33,38.92
2,11,8.5,2,1.73,1,7531,40,12.46,16.94,21.26
0,7,6.4,2,0.59,1,10441,64,7.58,9.86,9.89
7,22,7.2,1,1.39,1,5713,30,7.69,21.29,26.72
5,20,1.3,1,0.3,2,46723,63,14.04,20.8,36.51
4,23,3.6,2,0.4,2,43288,59,16.28,21.06,25.82
0,10,9.4,2,1.42,1,22949,24,7.09,8.98,10.81
3,15,2.3,2,2.46,0,14619,25,10.69,14.06,19.9
6,28,4.2,0,0.83,0,45325,39,9.02,13.9,16.45
5,5,5.3,1,1.31,1,24406,61,10.3,20.99,24.29
4,25,6.2,2,2.48,0,22402,59,12.76,19.46,28.32
1,13,7.7,2,1.44,1,18118,24,8.26,12.8,13.86
4,17,8.4,1,1.46,0,15023,43,13.63,18.6,30.58
2,6,2.2,0,0.77,2,30432,51,7.28,11.32,13.74
1,3,9.0,0,1.85,0,12600,42,1.93,4.02,4.85
3,13,6.6,1,2.0,0,836,53,9.33,12.54,15.26
2,13,5.2,0,1.95,0,17770,19,6.65,10.45,15.57
5,30,5.3,2,0.17,0,14378,34,15.44,31.47,35.03
5,15,2.4,2,1.91,0,37139,32,15.02,27.58,41.12
1,30,1.5,2,0.4,0,43923,46,8.64,11.21,14.53
7,9,3.5,2,0.93,0,28296,19,14.2,26.47,29.54
5,28,8.6,2,1.54,1,12439,30,9.98,24.35,37.86
0,10,4.1,0,2.35,1,48503,55,0.16,1.54,3.81
5,13,5.0,1,0.55,1,31849,59,14.12,22.99,29.93
0,21,3.2,2,1.07,2,13221,37,9.0,10.22,11.72
1,30,9.5,0,1.13,0,1127,39,2.83,5.55,7.44
0,21,6.3,1,1.41,0,30046,65,4.9,8.46,10.19
7,18,6.0,0,0.3,2,5168,22,4.98,12.96,25.01
1,1,7.3,2,1.68,2,34893,30,7.84,7.96,10.89
6,20,1.2,0,1.2,0,10850,18,7.47,13.01,14.66
7,30,8.3,0,1.44,0,9348,55,5.2,15.92,29.37
4,15,8.4,2,1.98,2,9960,52,13.7,19.86,26.23
5,6,6.9,1,2.43,0,5868,31,13.49,20.55,27.49
6,12,7.2,2,0.95,2,41363,65,12.57,17.64,27.64
4,16,3.0,1,0.54,2,47299,45,16.16,18.88,24.01
2,22,3.9,2,1.86,0,4058,62,12.17,14.4,19.88
5,18,1.4,0,1.13,1,37534,62,9.66,15.74,32.99
4,23,5.5,1,2.13,1,5052,54,14.56,16.76,28.15
6,4,3.1,2,0.93,1,32747,23,14.57,15.23,22.21
1,3,10.0,2,1.2,1,47716,58,8.21,8.65,12.39
6,25,8.2,1,0.3,1,45930,58,8.63,14.95,21.77
4,21,9.5,2,0.43,1,6195,19,16.35,20.55,26.81
1,16,1.1,2,0.84,1,16959,30,9.03,12.34,13.98
7,7,2.2,2,1.42,0,28702,34,10.57,21.09,26.78
6,13,8.8,0,1.16,2,4482,53,6.97,12.23,17.01
6,20,5.9,0,0.74,1,36233,49,9.32,10.69,15.54
4,4,9.0,2,0.81,2,32230,36,14.57,22.03,27.59
1,18,1.4,2,1.87,0,33545,21,8.22,11.0,13.7
4,2,4.9,1,1.13,0,39251,33,14.43,14.62,22.13
4,4,6.4,2,2.06,2,12484,50,15.47,18.03,25.77
2,26,3.6,1,1.72,0,40630,29,10.55,15.69,19.28
0,13,7.0,1,0.62,0,18153,33,5.4,7.0,9.69
1,9,6.6,0,0.72,2,21557,18,3.05,5.31,6.74
1,29,8.3,0,1.48,0,46426,41,2.99,5.38,9.12
4,4,6.4,0,2.11,1,15129,20,8.61,14.12,16.42
2,14,5.0,1,1.85,0,7648,40,10.23,13.97,16.72
7,27,3.7,2,0.1,2,14166,34,12.16,21.37,28.24
6,22,7.0,0,1.03,0,31291,18,7.43,11.45,16.55
2,20,6.2,0,0.87,0,15970,18,7.35,11.54,15.73
2,28,2.2,2,0.39,0,36412,56,13.4,17.89,24.51
5,11,2.8,1,1.36,2,26125,40,12.27,24.66,31.59
5,11,6.7,2,2.34,1,29598,36,15.57,23.04,32.63
5,15,4.3,2,2.28,0,33151,43,16.34,25.38,38.84
7,25,9.8,0,1.79,0,43623,21,4.42,17.18,25.85
3,11,9.7,1,2.06,0,47046,50,7.84,11.29,17.83
6,14,8.9,2,0.1,2,30754,55,12.68,17.92,25.18
7,29,2.0,2,0.91,0,6367,51,10.24,22.44,33.54
7,29,3.3,1,1.37,2,38670,49,11.59,19.2,30.17
0,7,9.5,1,1.23,0,36983,47,4.39,7.22,8.91
4,7,7.1,2,2.2,2,5709,62,11.98,19.03,30.08
6,9,8.9,2,0.64,2,34993,32,14.19,15.9,21.68
1,12,7.8,1,1.16,2,16466,28,6.95,9.78,11.46
0,23,6.4,2,0.69,2,29057,56,8.66,9.56,12.81
7,5,6.4,1,0.78,2,12570,32,10.05,15.7,21.48
5,13,9.6,2,1.02,2,43629,37,14.86,23.22,36.69
2,16,2.8,1,2.4,0,6970,32,9.16,15.98,20.08
7,24,5.1,1,0.51,0,26799,43,10.07,21.43,25.68
4,11,1.4,1,1.02,1,27781,45,13.67,18.49,24.15
1,16,9.6,1,1.85,2,19537,62,4.98,7.91,10.38
6,13,5.3,2,1.98,0,30309,64,12.87,18.03,23.38
0,1,4.7,2,1.57,1,44806,35,7.61,7.97,8.09
3,29,2.6,0,1.76,1,33394,52,5.09,10.08,14.74
4,14,1.1,2,2.38,0,3341,57,14.32,21.12,24.93
2,23,6.3,0,1.53,2,20180,38,6.78,10.23,14.67
1,16,6.1,1,0.89,0,35424,48,6.12,8.08,10.44
5,21,1.5,0,0.54,1,42981,58,9.01,17.68,29.95
1,17,4.3,0,0.71,0,22999,42,2.49,5.97,8.61
2,23,4.9,1,2.29,0,37844,51,10.37,13.85,17.05
0,16,2.6,2,0.51,1,43500,35,7.85,10.96,13.2
3,17,1.2,2,1.44,0,31466,22,12.01,17.84,21.39
4,11,3.0,0,0.16,0,17432,27,11.11,13.52,22.29
6,8,8.2,0,2.34,1,678,22,6.3,10.92,19.46
6,28,2.9,1,0.98,2,29765,28,12.47,15.44,18.81
6,30,8.1,0,0.99,0,2015,52,7.28,10.88,20.8
7,19,3.2,2,2.2,2,42432,24,12.46,23.74,27.66
4,30,4.0,0,1.71,2,49165,51,7.28,12.82,17.04
2,8,8.8,1,2.16,0,26720,18,9.57,12.61,20.2
4,8,8.7,0,1.24,1,9658,61,7.47,17.47,21.51
0,3,8.1,2,1.8,1,9302,31,7.52,8.38,9.17
6,18,4.7,1,0.88,2,26681,44,12.64,15.8,18.58
5,20,5.9,0,0.23,2,27457,46,8.95,22.18,36.58
5,14,9.8,1,1.24,0,16460,47,11.36,21.91,35.49
0,16,3.3,1,2.33,2,34773,47,5.51,7.38,9.25
0,5,2.8,0,2.17,1,24926,53,1.43,2.23,3.51
6,1,7.4,0,0.94,2,43566,49,7.95,10.59,16.78
7,24,6.6,1,1.19,0,728,60,10.59,21.57,33.1
1,7,7.8,1,1.98,1,28964,60,5.42,7.19,9.66
7,19,1.2,2,0.1,0,49321,41,12.08,18.26,31.69
0,30,1.5,2,2.49,1,27594,42,8.19,9.44,11.02
1,3,7.8,0,2.07,0,36025,54,1.58,2.43,4.23
3,1,8.5,2,0.13,2,33802,24,10.85,13.36,17.82
5,16,2.4,2,1.78,1,25200,34,13.32,27.13,34.84
1,6,4.7,2,2.38,0,29562,32,8.5,9.15,9.96
0,5,2.3,2,2.09,2,9497,33,7.09,7.68,9.27
1,11,1.6,0,1.45,1,3674,27,3.08,5.11,8.47
1,19,3.1,1,1.45,0,23059,32,5.66,8.06,11.07
4,15,2.8,1,0.27,1,1492,28,10.74,18.84,23.71
7,14,3.7,0,0.66,0,20085,49,6.6,15.01,24.25
4,17,2.8,0,1.54,0,36353,46,9.01,17.56,22.7
0,13,3.3,2,0.62,2,37894,43,8.39,10.7,10.99
1,19,6.1,0,1.13,2,39262,43,2.78,6.49,9.24
7,24,8.6,1,1.17,0,24317,33,8.36,23.0,29.36
1,26,6.4,0,1.9,0,17607,20,2.8,4.27,6.62
3,26,5.7,0,1.58,1,44117,61,5.12,8.02,12.11
3,20,7.6,2,1.28,1,26611,53,12.03,15.42,28.16
3,22,2.0,2,1.57,0,20006,57,11.75,16.92,18.75
1,5,7.4,0,0.39,2,22969,34,2.38,4.45,6.27
4,3,3.8,2,1.83,1,863,63,15.53,21.17,21.34
1,13,7.4,0,1.58,1,2744,36,2.41,5.05,6.66
6,25,6.4,0,1.08,1,2174,53,7.03,12.86,15.14
4,22,6.0,1,0.27,2,29306,26,14.24,18.09,22.36
6,30,1.1,0,1.6,1,9611,27,7.35,10.04,15.82
3,25,5.1,1,0.57,1,17900,59,9.06,14.17,16.37
4,2,3.4,0,1.04,2,21414,35,9.11,12.91,18.51
3,10,6.7,0,0.8,1,42762,33,6.54,11.24,11.65
4,26,5.9,0,0.86,2,3163,29,11.46,17.37,21.74
6,8,7.7,0,1.08,0,10112,22,6.55,12.69,16.2
7,7,7.8,2,0.82,0,27700,21,10.21,20.08,27.36
7,30,7.9,2,0.15,0,15135,29,10.86,18.41,29.58
3,22,6.6,2,0.42,1,48853,30,12.29,15.73,20.1
0,8,9.3,2,0.59,0,33922,55,8.09,8.9,9.82
1,4,6.7,0,2.19,1,40350,52,1.89,3.86,4.44
3,10,9.3,0,0.79,0,24218,49,4.94,9.68,13.81
6,26,6.4,1,2.01,0,47662,26,10.91,14.01,23.0
7,19,5.6,2,2.28,1,36419,64,12.4,20.87,32.08
2,22,7.2,1,2.17,2,39023,29,9.36,13.42,20.45
3,16,5.6,2,1.31,0,37696,36,12.16,16.35,18.7
4,12,3.0,0,0.9,1,14517,22,8.49,14.79,20.17
7,19,5.7,0,1.83,2,3649,38,5.92,12.98,20.33
